镜号,场次,场名,时间码,时长秒,景别／机位,画面动作摘要,关键状态／变体,摄影来源等级,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
062,09,国旗展示与科学任务说明,00:08:17–00:08:24,7,宇航服相机／着陆腿侧,杨凛巡视着陆腿、喷流影响区和舱体外观；陈砚用样品袋完成近舱紧急样品采集。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-014-宇航服任务相机;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P1-005-月面后段科考区,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,先保证安全与最低限度样品，再展开后续任务。
063,09,国旗展示与科学任务说明,00:08:24–00:08:31,7,便携月面相机中远景,两人从揽月外部释放月球车与采样箱，随后展开折叠式国旗展示装置。,同一便携月面相机｜机位连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-007-国旗装置部署链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,,阶段1映射完成｜阶段2B按镜头状态调用,国旗装置保持工程化和可操作尺度。
064,09,国旗展示与科学任务说明,00:08:31–00:08:40,9,便携月面相机固定全景,五星红旗在横杆支撑下完整展开，两名航天员分立两侧，揽月位于后方。,同一便携月面相机｜机位连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,月面无风，旗面不自行飘动。
065,09,国旗展示与科学任务说明,00:08:40–00:08:51,11,媒体区记者近景,林知夏身后大屏是国旗、航天员和揽月同框画面。,常规任务状态,B｜地面直播／测控任务机位,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P1-002-林知夏;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P0-004-工程化国旗展示装置;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-007-国旗装置部署链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-003-飞控中心媒体区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,载人登月国旗的具体实现仍属于艺术推演；不写成官方已公布方案。
066,09,国旗展示与科学任务说明,00:08:51–00:09:05,14,媒体区专家双人,顾青岚指向着陆区地质图，图上显示附近不同颜色的地质单元和短程活动范围。,常规任务状态,B｜地面直播／测控任务机位,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P1-002-林知夏;BY-CHR-P1-006-顾青岚;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-008-顾青岚专家服装;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-005-月面后段科考区,BY-VOI-P1-014-顾青岚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,项目坐标是艺术锁定点，不说成官方着陆点。
067,09,国旗展示与科学任务说明,00:09:05–00:09:11,6,地质图卡／任务路线,路线依次标出表取样、岩芯钻取和科学载荷部署点。,常规任务状态,D｜后期字幕／解释图卡,BY-ANM-P1-001-月面科研时间压缩;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-003-月面科学观测设备;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P1-005-月面后段科考区,BY-VOI-P1-014-顾青岚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,图卡文字由后期制作。
068,09,国旗展示与科学任务说明,00:09:11–00:09:16,5,月球车侧向固定相机,两名航天员将采样箱固定到月球车，沿预定路线离开着陆器近区。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-007-月球车设备链路结构声,,阶段1映射完成｜阶段2B按镜头状态调用,进入约7小时40分的主舱外活动。
069,10,月面科研时间压缩,00:09:16–00:09:24,8,便携月面相机固定延时／后期时间码,画面保留揽月、国旗和工作区；两名航天员与月球车多次进出画面。时间码由T+06:20推进到T+08:20。,同一便携月面相机｜机位连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-007-国旗装置部署链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,时间压缩由后期完成，不把月面外部动作声带入。
070,10,月面科研时间压缩,00:09:24–00:09:32,8,月球车前向相机,月球车以低速驶过浅坑与细碎岩块，远处揽月和国旗逐渐缩小。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-007-国旗装置部署链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,,阶段1映射完成｜阶段2B按镜头状态调用,车辆运动无外部轰鸣和轮胎声。
071,10,月面科研时间压缩,00:09:32–00:09:40,8,宇航服相机／第一工作点,陈砚夹取表层样品，杨凛拍摄样品原位、方向标和附近地形。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-PRP-P1-001-月面采样工具;BY-PRP-P1-014-宇航服任务相机;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P1-005-月面后段科考区,BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,采样前先记录原位信息。
072,10,月面科研时间压缩,00:09:40–00:09:48,8,月球车侧后固定相机,两人在不同地貌交界处展开工具，背景中车轮轨迹和近坡地层次清楚。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P1-014-顾青岚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,第三视角来自月球车固定相机。
073,10,月面科研时间压缩,00:09:48–00:09:57,9,宇航服相机／岩芯钻取,杨凛稳定钻机，陈砚监看深度标记并接收岩芯套管。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-014-宇航服任务相机;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P1-005-月面后段科考区,BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,钻具声只通过服体结构传导和通信拾音体现。
074,10,月面科研时间压缩,00:09:57–00:10:06,9,宇航服与月球车相机交叉,两人展开一组科学载荷，调平、连接和自检指示依次完成。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-003-月面科学观测设备;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,,阶段1映射完成｜阶段2B按镜头状态调用,不虚构具体未公开载荷型号。
075,10,月面科研时间压缩,00:10:06–00:10:16,10,任务相机蒙太奇／后期时间码,表取样、岩芯封装、载荷检查和月球车返程交叉出现。时间码由T+10:40推进到T+12:50。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,只保留可识别的关键动作链。
076,10,月面科研时间压缩,00:10:16–00:10:26,10,便携月面相机固定全景／后期时间码,两人和月球车返回揽月近区，样品箱转移到舱梯旁；最后一次舱外巡视结束。字幕：T+13:40，主舱外活动结束。,同一便携月面相机｜机位连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-012-月球车任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-008-样品转移链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-005-样品编号与封签模板,阶段1映射完成｜阶段2B按镜头状态调用,明确关闭约7小时40分主舱外活动时间线。
077,11,回舱、月面起飞与再对接,00:10:26–00:10:34,8,揽月外部固定相机,样品箱和工具包沿回收索先进入舱内，陈砚随后单人上梯，杨凛在月面完成最后检查。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-004-月面工具包与载荷固定系统;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-008-样品转移链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,BY-SYM-P1-005-样品编号与封签模板,阶段1映射完成｜阶段2B按镜头状态调用,先样品与工具、后人员。
078,11,回舱、月面起飞与再对接,00:10:34–00:10:42,8,舱口与舱内固定机位,杨凛最后进入舱内，舱门关闭；两人完成增压、舱外服清洁隔离和样品固定。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-009-污染控制用品;BY-REL-P0-008-样品转移链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,BY-SYM-P1-005-样品编号与封签模板,阶段1映射完成｜阶段2B按镜头状态调用,月尘处置只保留公开可解释的最低流程。
079,11,回舱、月面起飞与再对接,00:10:42–00:10:52,10,揽月舱内时间压缩／后期字幕,两人补水进食、医学自检、整理样品、轮换休息并复核起飞程序。字幕由T+14:00推进到T+27:30。,月面T+时间线连续,D｜后期字幕／解释图卡,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P0-006-东风医监转移设备;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,把总驻留时间闭合到约28小时。
080,11,回舱、月面起飞与再对接,00:10:52–00:11:00,8,揽月舱内双人中景,两人穿舱内压力服固定，起飞和再交会页面完成最后检查。,月面T+时间线连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,关键动作开始后停止专家解释。
081,11,回舱、月面起飞与再对接,00:11:00–00:11:10,10,便携月面相机固定全景,字幕：着陆T+28:00。揽月上升级点火离开月面，迅速升出画面；相机继续停留，国旗、脚印、车辙和留置设备在黑色天空下保持不动。,同一便携月面相机｜机位连续,A｜航天器／宇航服／月面真实任务机位推演,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-007-国旗装置部署链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-004-揽月月面起飞状态;BY-VFX-P0-003-第一足印月壤形变;BY-VFX-P0-004-月面起飞羽流与留场余景,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,同一台已部署相机完成视觉回报；离画后保留2—3秒空镜。
082,11,回舱、月面起飞与再对接,00:11:10–00:11:18,8,北京飞控／佳木斯／梦舟交叉,飞控轨迹由月面上升转为环月交会；佳木斯链路连续；刘定槎在两张空座之间监看目标。,梦舟B｜刘定槎值守／两座空置锁定,B｜地面直播／测控任务机位,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-003-刘定槎;BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-006-深空测控站任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-004-地面测控接力链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-006-环月轨道外部环境;BY-SCN-P1-007-佳木斯66米深空测控站;BY-VEH-P0-001-梦舟载人飞船;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,深空地面站和梦舟共同建立再交会状态。
083,11,回舱、月面起飞与再对接,00:11:18–00:11:25,7,月轨上升侧视／视觉重建,揽月上升级越过月球弧面进入交会轨道，梦舟在远处沿同向飞行；标注：基于实时遥测的视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P1-004-环月轨道太阳光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-004-揽月月面起飞状态;BY-VEH-P1-005-揽月月轨再对接状态;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,只补充尺度和轨道关系。
