镜号,场次,场名,时间码,景别／机位,画面动作摘要,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
090,13,三人重聚与揽月处置,10:52–10:59,梦舟返回舱广角,杨凛、陈砚依次回到返回舱，刘定槎完成三人清点；两张空座椅重新成为回程座位。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-SCN-P0-001-梦舟舱内三座布局,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,空座椅只在归队这一刻完成功能闭环。
091,13,三人重聚与揽月处置,10:59–11:06,三人任务近景,三人只做简短点头，立即分工固定人员、样品和登月装备。,BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态,BY-VOI-P0-001-杨凛声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,不以拥抱或长对白中断程序。
092,13,三人重聚与揽月处置,11:06–11:13,舱门／清单特写,揽月遗留物清点完成，两侧舱门关闭，压力与密封正常。,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-SCN-P0-002-梦舟对接通道与舱门区,BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,处置前先清舱。
093,13,三人重聚与揽月处置,11:13–11:21,月轨外景,揽月与梦舟分离，姿控将其送入预定处置轨迹。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P1-006-揽月受控处置状态;BY-VFX-P1-004-姿控喷流;BY-VFX-P1-006-揽月受控处置轨迹,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,不把揽月和梦舟服务舱组合留轨；具体撞击点不虚构。
094,13,三人重聚与揽月处置,11:21–11:28,梦舟舱内工作位,刘定槎将处置目标从主任务页移除，杨凛开始核对地月返回窗口。,BY-CHR-P0-001-杨凛;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-SCN-P0-001-梦舟舱内三座布局,BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,AI更新解算，地面/乘组决策。
095,13,三人重聚与揽月处置,11:28–11:35,双器远景,梦舟远离月球，揽月沿另一条轨迹渐小；画面转入返地准备。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P1-006-揽月受控处置状态;BY-VFX-P1-006-揽月受控处置轨迹,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,用轨迹分叉回答两器最终去向。
096,14,踏上归程,11:35–11:42,梦舟外景,梦舟以服务舱朝向机动到地月转移点火姿态，太阳翼和返回舱构型清晰。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-003-月地转移点火与月球远离,BY-VOI-P0-001-杨凛声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,明确服务舱仍承担推进、电源与热控。
097,14,踏上归程,11:42–11:50,北京飞控／深空站,飞控完成窗口和碰撞规避复核，林海与叶河准备连续测控。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,不是服务舱自动把“整体送到地球同步轨道”，而是进入地月转移轨道。
098,14,踏上归程,11:50–11:57,服务舱点火外景／舱内,服务舱主发动机点火，月球弧面缓慢后退。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-003-月地转移点火与月球远离,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-003-发动机舱内结构振动,,V1.2提取已终审；待阶段2B设计与确认可调用,外景静音；服务舱不载人。
099,14,踏上归程,11:57–12:05,轨迹图／地球方向,地月转移轨迹闭合，发动机关机；地球返回走廊出现在屏幕。,,BY-VOI-P1-007-天衡测轨声音,BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,不是地球同步轨道，而是高椭圆地月返回轨迹。
100,14,踏上归程,12:05–12:13,时间字幕／舱内延时,字幕：三天后。三人轮换休息、检查样品与返回舱，地球在舷窗中逐渐变大。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服,,BY-SND-P0-001-舱内生命保障与设备底噪,BY-SYM-P1-003-任务阶段与时间跳跃标牌,V1.2提取已终审；待阶段2B设计与确认可调用,长航程用字幕和匹配剪辑压缩。
101,14,踏上归程,12:13–12:20,梦舟舱内固定广角,三人换穿舱内压力服并进入返回构型：座椅约束收紧，样品柜锁止，返回清单进入最终页。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-010-返回舱样品柜与锁止;BY-SCN-P0-001-梦舟舱内三座布局,BY-VOI-P0-001-杨凛声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,三张座椅均回到承载状态。
102,15,跳跃式再入,12:20–12:27,梦舟外景／构型示意,近地再入前，服务舱关闭主供能并与返回舱分离；返回舱独立调整防热大底朝向。,BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VEH-P1-007-梦舟服务舱近地分离状态;BY-VFX-P1-004-姿控喷流,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-004-再入结构与通信衰减,,V1.2提取已终审；待阶段2B设计与确认可调用,只有返回舱再入；服务舱完成使命后处置。
103,15,跳跃式再入,12:27–12:35,返回舱内三人固定,三人穿舱内压力服紧贴座椅，面前仪表显示接近每秒十一公里量级的月地返回速度与再入走廊。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-SCN-P0-001-梦舟舱内三座布局;BY-VFX-P1-004-姿控喷流,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-004-再入结构与通信衰减,,V1.2提取已终审；待阶段2B设计与确认可调用,不把“第一宇宙速度”写成发动机主动刹车目标。
104,15,跳跃式再入,12:35–12:43,第一次再入外景／飞控,返回舱擦入高层大气，防热大底形成等离子辉光；飞控监视升阻控制。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P0-005-返回舱再入等离子辉光;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-004-再入结构与通信衰减;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,采用半弹道跳跃式再入作为基于嫦娥返回技术的合理推演。
105,15,跳跃式再入,12:43–12:50,轨迹示意／地球弧面,返回舱在升力控制下短暂跃出稠密大气，速度和热流显著降低，轨迹再次下弯。,BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-002-林知夏声音,BY-SND-P1-004-再入结构与通信衰减,,V1.2提取已终审；待阶段2B设计与确认可调用,一句科普，不用错误说法‘减速到同步轨道’。
106,15,跳跃式再入,12:50–12:58,第二次再入／舱内,等离子辉光再次包围舱体，通信信号逐步衰减；三人按预定姿态承受过载。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-005-返回舱再入等离子辉光;BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-004-再入结构与通信衰减,,V1.2提取已终审；待阶段2B设计与确认可调用,黑障用信号中断制造张力，不虚构故障。
107,15,跳跃式再入,12:58–13:05,北京飞控与测控屏,通信窗口暂时无语音，外测轨迹仍在推进；预计恢复点逼近。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,,BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,地面不能因黑障失去全部轨迹预报。
108,15,跳跃式再入,13:05–13:13,返回舱外景／通信恢复,辉光减弱，天线恢复工作；稳定伞、主伞按程序展开，舱体下降姿态稳定。,BY-LGT-P0-005-返回舱再入等离子辉光;BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VEH-P0-007-返回舱群伞气囊着陆构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P0-006-稳定伞与主伞展开,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-004-再入结构与通信衰减;BY-SND-P1-005-降落伞与着陆冲击,,V1.2提取已终审；待阶段2B设计与确认可调用,开伞高度与伞型保持泛化，避免冒充最终设计。
109,15,跳跃式再入,13:13–13:20,低空／着陆特写,返回舱按预定程序完成着陆构型转换，气囊充气后触地，短距离滚摆并稳定。,BY-LGT-P1-007-搜救着陆区日间自然光;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-007-返回舱群伞气囊着陆构型;BY-VFX-P0-007-气囊触地滚摆,BY-VOI-P1-008-搜救指挥声音,BY-SND-P1-005-降落伞与着陆冲击,,V1.2提取已终审；待阶段2B设计与确认可调用,陆上群伞/气囊为艺术化方案，最终着陆方式尚未公开锁定。
110,16,平安归来,13:20–13:27,搜救指挥屏／航拍,落点椭圆迅速收敛，直升机与地面车辆沿不同路线接近返回舱。,BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-011-搜救指挥中心;BY-VEH-P0-007-返回舱群伞气囊着陆构型;BY-VEH-P1-008-搜救直升机与地面车辆,BY-VOI-P1-008-搜救指挥声音,BY-SND-P1-006-搜救现场声,,V1.2提取已终审；待阶段2B设计与确认可调用,不把搜救简化为单一车队。
111,16,平安归来,13:27–13:35,返回舱外景手持长焦,搜救队抵达，先检查舱体温度、推进剂/电气安全和周边环境，再接近舱门。,BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-PRP-P1-011-返回舱信标与现场安全工具;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-007-返回舱群伞气囊着陆构型,BY-VOI-P1-011-现场指挥声音,BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-006-搜救现场声,,V1.2提取已终审；待阶段2B设计与确认可调用,先安全处置，后开舱。
112,16,平安归来,13:35–13:43,舱门与医疗组中景,舱门开启，医疗人员建立通风与通信；杨凛首先回应，另外两人状态同步确认。,BY-CHR-P0-001-杨凛;BY-CRO-P1-003-搜救与医疗团队;BY-CST-P0-001-杨凛舱内飞行服;BY-LGT-P1-007-搜救着陆区日间自然光;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-007-返回舱群伞气囊着陆构型,BY-VOI-P0-001-杨凛声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-006-搜救现场声,,V1.2提取已终审；待阶段2B设计与确认可调用,避免航天员立即站立庆祝。
113,16,平安归来,13:43–13:52,北京飞控／回收现场交叉,飞控主屏同时出现三名航天员状态和样品容器接收确认；大厅克制鼓掌。,BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-007-搜救着陆区日间自然光;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-008-主样品容器编号与固定座;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-007-返回舱群伞气囊着陆构型,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-006-搜救现场声;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,以系统闭合而非个人口号收束。
114,16,平安归来,13:52–14:00,片尾纪实定格／说明,返回舱、搜救人员与远处天空构成终景。随后字幕：本片为未来任务艺术化推演，日期、呼号、口令及未公开技术细节不代表正式任务方案。,BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-007-返回舱群伞气囊着陆构型,,BY-SND-P1-006-搜救现场声,BY-SYM-P0-002-艺术化光照偏差推演声明;BY-SYM-P1-001-未来纪实推演标识,V1.2提取已终审；待阶段2B设计与确认可调用,片尾说明不计入14分钟正片；不得附加未经确认的纪念文案。
